Approved symbol	Previous symbols	Alias symbols	Locus group	Ensembl gene ID
OR2A26			other	
OR2A27			protein-coding gene	
OR2A28P			pseudogene	
OR2A41P			pseudogene	ENSG00000239967
OR2A42			protein-coding gene	ENSG00000212807
OR2AD1P		OR2AD1, hs6M1-8P	pseudogene	ENSG00000223677
OR2AE1	OR2AE2		protein-coding gene	ENSG00000244623
OR2AE2			other	
OR2AF1P	OR2AF2P		pseudogene	ENSG00000235730
OR2AF2P			pseudogene	
OR2AG1	OR2AG3		protein-coding gene	ENSG00000279486
OR2AG2	OR2AG2P		protein-coding gene	ENSG00000188124
OR2AG3			other	
OR2AH1P			pseudogene	ENSG00000232511
OR2AI1P			pseudogene	ENSG00000236791
OR2AJ1	OR2AJ1P	OR2AJ1Q	protein-coding gene	ENSG00000177275
OR2AK1P			pseudogene	
OR2AK2	OR2AK1P		protein-coding gene	ENSG00000187080
OR2AL1P			pseudogene	ENSG00000254767
OR2AM1P			pseudogene	ENSG00000236110
OR2AN1P			other	
OR2AO1P			pseudogene	ENSG00000240621
OR2AP1	OR2AP1P		protein-coding gene	ENSG00000179615
OR2AQ1P			pseudogene	ENSG00000229724
OR2AR1P			pseudogene	
OR2AS1P			pseudogene	ENSG00000227102
OR2AS2P			pseudogene	ENSG00000271934
OR2AT1P			pseudogene	ENSG00000254475
OR2AT2P			pseudogene	ENSG00000234611
OR2AT4			protein-coding gene	ENSG00000171561
OR2AU1P			pseudogene	
OR2B1	OR2B1P, OR2B5	OR2B1P, OR2B5, OR5-40, OR5-41	other	
OR2B1P		OR5-41	pseudogene	
OR2B2	OR2B9	hs6M1-10, OR6-1, OR2B2Q	protein-coding gene	ENSG00000168131
OR2B3	OR2B3P	OR6-4	protein-coding gene	ENSG00000204703
OR2B4P		hs6M1-22	pseudogene	
OR2B5		OR5-40	other	
OR2B6	OR2B6P, OR2B1, OR2B1P, OR2B5	OR6-31, dJ408B20.2, OR5-40, OR5-41	protein-coding gene	ENSG00000124657
OR2B7P		hs6M1-31P	pseudogene	ENSG00000187763
OR2B8P	OR2B8	hs6M1-29P	pseudogene	ENSG00000182477
OR2B9			other	
OR2B11			protein-coding gene	ENSG00000177535
OR2BH1P			pseudogene	ENSG00000272882
OR2C1	OR2C2P	OLFmf3	protein-coding gene	ENSG00000168158
OR2C2P			pseudogene	
OR2C3	OR2C4, OR2C5P	OST742	protein-coding gene	ENSG00000196242
OR2C4			other	
OR2C5P		OST742	pseudogene	
OR2D1		hg27	other	
OR2D2	OR2D1	OR11-610, hg27	protein-coding gene	ENSG00000166368
OR2D3			protein-coding gene	ENSG00000178358
OR2E1		hs6M1-9p	other	
OR2E1P	OR2E1, OR2E2	hs6M1-9, hs6M1-9p, HS29K1, HSNH0569I24	pseudogene	ENSG00000219262
OR2E2			other	
OR2F1	OR2F4, OR2F5, OR2F3, OR2F3P	OLF3, OR7-140, OR7-139, OR14-60	protein-coding gene	ENSG00000213215
OR2F2		OR7-1	protein-coding gene	ENSG00000221910
OR2F3	OR2F3P	OR14-60, OR2F3P	other	
OR2F4			other	
OR2F5			other	
OR2G1P		OST619, hs6M1-25	pseudogene	ENSG00000213911
OR2G2			protein-coding gene	ENSG00000177489
OR2G3			protein-coding gene	ENSG00000177476
OR2G6			protein-coding gene	ENSG00000188558
OR2H1	OR2H6, OR2H8	OR6-2	protein-coding gene	ENSG00000204688
OR2H2		hs6M1-12	protein-coding gene	ENSG00000204657
OR2H3			other	
OR2H4P		OR6-3, OR2H4, hs6M1-7, dJ80I19.6	pseudogene	
OR2H5P		OR2H5, hs6M1-13, HS271M21	pseudogene	ENSG00000232173
OR2H6			other	
OR2H7			other	
OR2H8			other	
OR2I1P	OR2I1, OR2I3P, OR2I4P, OR2I2	HS6M1-14	pseudogene	ENSG00000237988
OR2I2			other	
OR2I3P			pseudogene	
OR2I4P			pseudogene	
OR2I5P			other	
OR2I6			other	
OR2I7P			other	
OR2I8P			other	
OR2I9P			other	
OR2J1	OR2J1P	OR6-5, hs6M1-4, dJ80I19.2	protein-coding gene	ENSG00000204702
OR2J2		OR6-8, hs6M1-6, dJ80I19.4	protein-coding gene	ENSG00000204700
OR2J3		OR6-6	protein-coding gene	ENSG00000204701
OR2J4P		OR6-9, hs6M1-5, dJ80I19.5	pseudogene	ENSG00000224233
OR2K1			other	
OR2K2	OR2AR1P	HTPCRH06, HSHTPCRH06	protein-coding gene	ENSG00000171133
OR2L1P	OR2L1, OR2L7P	HTPCRX02, HSHTPCRX02	pseudogene	ENSG00000224227
OR2L2	OR2L4P, OR2L12	HTPCRH07, HSHTPCRH07	protein-coding gene	ENSG00000203663
OR2L3			protein-coding gene	ENSG00000198128
OR2L4P			pseudogene	
OR2L5	OR2L11, OR2L5P		protein-coding gene	ENSG00000197454
OR2L6P			pseudogene	ENSG00000232215
OR2L7P			pseudogene	
OR2L8			protein-coding gene	ENSG00000279263
OR2L9P			pseudogene	ENSG00000237492
OR2L11			other	
OR2L12			other	
OR2L13	OR2L14		protein-coding gene	ENSG00000196071
OR2L14		OR2L13	other	
OR2M1P	OR2M1	OST037	pseudogene	ENSG00000177233
OR2M2		OST423, OR2M2Q	protein-coding gene	ENSG00000198601
OR2M3	OR2M6, OR2M3P	OST003	protein-coding gene	ENSG00000228198
OR2M4		HTPCRX18, TPCR100, HSHTPCRX18, OST710	protein-coding gene	ENSG00000171180
OR2M5	OR2M5P		protein-coding gene	ENSG00000162727
OR2M6			other	
OR2M7			protein-coding gene	ENSG00000177186
OR2N1P		OR6-7	pseudogene	
OR2P1P		hs6M1-26	pseudogene	ENSG00000236909
OR2Q1P		OR7-2	pseudogene	ENSG00000273377
OR2R1P	OR2R1	OST058	pseudogene	ENSG00000236853
OR2S1P		OST611	pseudogene	ENSG00000228307
OR2S2			protein-coding gene	ENSG00000278889
OR2T1		OR1-25	protein-coding gene	ENSG00000175143
OR2T2	OR2T2P		protein-coding gene	ENSG00000196240
OR2T3			protein-coding gene	ENSG00000196539
OR2T4		OR2T4Q	protein-coding gene	ENSG00000196944
OR2T5			protein-coding gene	ENSG00000203661
OR2T6	OR2T6P, OR2T9	OST703	protein-coding gene	ENSG00000198104
OR2T7	OR2T7P	OST723	protein-coding gene	ENSG00000227152
OR2T8	OR2T8P		protein-coding gene	ENSG00000177462
OR2T9			other	
OR2T10			protein-coding gene	ENSG00000184022
OR2T11		OR2T11Q	protein-coding gene	ENSG00000279301
OR2T12			protein-coding gene	ENSG00000177201
OR2T27			protein-coding gene	ENSG00000187701
OR2T29			protein-coding gene	ENSG00000182783
OR2T32P			pseudogene	ENSG00000197067
OR2T33			protein-coding gene	ENSG00000177212
OR2T34			protein-coding gene	ENSG00000183310
OR2T35			protein-coding gene	ENSG00000177151
OR2U1P	OR2AU1P	hs6M1-24	pseudogene	ENSG00000204697
OR2U2P		hs6M1-23	pseudogene	ENSG00000242524
OR2V1	OR2V1P	OST265	protein-coding gene	ENSG00000185372
OR2V2	OR2V3	OST713	protein-coding gene	ENSG00000182613
OR2V3		OST713	other	
OR2W1		hs6M1-15	protein-coding gene	ENSG00000204704
OR2W2P		hs6M1-30P	pseudogene	ENSG00000217315
OR2W3	OR2W8P, OR2W3P	OST718	protein-coding gene	ENSG00000238243
OR2W4P			pseudogene	ENSG00000216629
OR2W5	OR2W5P	OST722	protein-coding gene	ENSG00000203664
OR2W6P	OR2W7P		pseudogene	ENSG00000168126
OR2W7P			pseudogene	
OR2W8P			pseudogene	
OR2X1P			pseudogene	ENSG00000224830
OR2Y1			protein-coding gene	ENSG00000174339
OR2Z1	OR2Z2		protein-coding gene	ENSG00000181733
OR2Z2			other	
OR3A1		OLFRA03, OR40, OR17-40	protein-coding gene	ENSG00000180090
OR3A2		OLFRA04, OR228, OR17-228	protein-coding gene	ENSG00000221882
OR3A3	OR3A6, OR3A7, OR3A8P	OR17-201, OR17-137, OR17-16	protein-coding gene	ENSG00000159961
OR3A4		OLFRA05, OR24, OR17-24	pseudogene	
OR3A4P	OR3A4		pseudogene	ENSG00000180068
OR3A5P		OLFRA06, OR25, OR17-25, RP11-64J4.6-001	pseudogene	ENSG00000272546
OR3A6		OR17-137	other	
OR3A7		OR17-16	other	
OR3A8P			pseudogene	
OR3B1P			pseudogene	ENSG00000237619
OR3D1P			pseudogene	ENSG00000230411
OR4A1P	OR4A20P	OR11-30	pseudogene	ENSG00000254408
OR4A2P			pseudogene	ENSG00000227547
OR4A3P			pseudogene	ENSG00000254464
OR4A4P	OR4A4		pseudogene	ENSG00000254769
OR4A5			protein-coding gene	ENSG00000221840
OR4A6P			pseudogene	ENSG00000255078
OR4A7P			pseudogene	ENSG00000255349
OR4A8	OR4A8P		protein-coding gene	ENSG00000225997
OR4A9P			pseudogene	ENSG00000254891
OR4A10P	OR4A25P		pseudogene	ENSG00000255493
OR4A11P			pseudogene	ENSG00000254663
OR4A12P			pseudogene	ENSG00000254723
OR4A13P			pseudogene	ENSG00000181950
OR4A14P			pseudogene	ENSG00000254962
OR4A15			protein-coding gene	ENSG00000181958
OR4A16		OR4A16Q	protein-coding gene	ENSG00000181961
OR4A17P	OR4A22P		pseudogene	ENSG00000255196
OR4A18P			pseudogene	ENSG00000254637
OR4A19P			pseudogene	ENSG00000254940
OR4A20P			pseudogene	
OR4A21P			pseudogene	ENSG00000181943
OR4A22P			pseudogene	
OR4A25P			pseudogene	
OR4A40P			pseudogene	ENSG00000254832
OR4A41P			pseudogene	ENSG00000255297
OR4A42P			pseudogene	ENSG00000254674
OR4A43P			pseudogene	ENSG00000255534
OR4A44P			pseudogene	ENSG00000255053
OR4A45P			pseudogene	ENSG00000213607
OR4A46P			pseudogene	ENSG00000255304
OR4A47			protein-coding gene	ENSG00000237388
OR4A48P			pseudogene	ENSG00000255113
OR4A49P			pseudogene	ENSG00000254472
OR4A50P			pseudogene	ENSG00000255294
OR4B1		OST208	protein-coding gene	ENSG00000175619
OR4B2P		hg449	pseudogene	ENSG00000255514
OR4C1P	OR4C1	HTPCRX11, HSHTPCRX11	pseudogene	ENSG00000254576
OR4C2P	OR4C8P		pseudogene	ENSG00000182565
OR4C3			protein-coding gene	ENSG00000176547
OR4C4P	OR4C17P, OR4C17	OR4C47P	pseudogene	ENSG00000197161
OR4C5	OR4C5P	OR4C5Q	protein-coding gene	ENSG00000176540
OR4C6			protein-coding gene	ENSG00000181903
OR4C7P			pseudogene	ENSG00000255312
OR4C8P			pseudogene	
OR4C9P			pseudogene	ENSG00000254925
OR4C10P			pseudogene	ENSG00000184789
OR4C11	OR4C11P		protein-coding gene	ENSG00000172188
OR4C12			protein-coding gene	ENSG00000221954
OR4C13			protein-coding gene	ENSG00000258817
OR4C14P			pseudogene	ENSG00000233301
OR4C15			protein-coding gene	ENSG00000181939
OR4C16			protein-coding gene	ENSG00000279514
OR4C17P	OR4C17	OR4C47P	pseudogene	
OR4C45			protein-coding gene	ENSG00000260811
OR4C46			protein-coding gene	ENSG00000185926
OR4C48P			pseudogene	ENSG00000283605
OR4C49P			pseudogene	ENSG00000260595
OR4C50P			pseudogene	ENSG00000237610
OR4D1	OR4D3	TPCR16	protein-coding gene	ENSG00000141194
OR4D2			protein-coding gene	ENSG00000255713
OR4D3			other	
OR4D4P			other	
OR4D5			protein-coding gene	ENSG00000171014
OR4D6			protein-coding gene	ENSG00000166884
OR4D7P		OST724	pseudogene	ENSG00000254770
OR4D8P			pseudogene	ENSG00000204989
OR4D9			protein-coding gene	ENSG00000172742
OR4D10	OR4D10P	OST711	protein-coding gene	ENSG00000254466
OR4D11	OR4D11P		protein-coding gene	ENSG00000176200
OR4E1	OR4E1P		protein-coding gene	ENSG00000276240
OR4E2			protein-coding gene	ENSG00000221977
OR4F1			other	
OR4F1P	OR4F1	HSDJ0609N19	pseudogene	ENSG00000220212
OR4F2P		OR4F2, hs6M1-11, S191N21	pseudogene	ENSG00000224777
OR4F3			protein-coding gene	ENSG00000230178
OR4F4		OR4F18	protein-coding gene	ENSG00000177693
OR4F5			protein-coding gene	ENSG00000186092
OR4F6	OR4F12		protein-coding gene	ENSG00000184140
OR4F7P	OR4F10		pseudogene	ENSG00000217874
OR4F8P	OR4F20P, OR4F9P		pseudogene	ENSG00000266971
OR4F9P			pseudogene	
OR4F10			other	
OR4F11P			pseudogene	
OR4F12			other	
OR4F13P			pseudogene	ENSG00000214344
OR4F14P	OR4F14		pseudogene	ENSG00000232459
OR4F15			protein-coding gene	ENSG00000182854
OR4F16			protein-coding gene	ENSG00000284662
OR4F17	OR4F19, OR4F11P, OR4F18		protein-coding gene	ENSG00000176695
OR4F18			other	
OR4F19			other	
OR4F20P			pseudogene	
OR4F21	OR4F21P		protein-coding gene	ENSG00000176269
OR4F28P			pseudogene	ENSG00000257109
OR4F29			protein-coding gene	ENSG00000284733
OR4G1P	OR4G8P	OLB	pseudogene	ENSG00000267310
OR4G2P	OR4G7P		pseudogene	ENSG00000183909
OR4G3P	OR4G3, OR4G5P	OLC, OLC-7501	pseudogene	ENSG00000282137
OR4G4P			pseudogene	ENSG00000268020
OR4G5P			pseudogene	
OR4G6P			pseudogene	ENSG00000275771
OR4G7P			pseudogene	
OR4G8P			pseudogene	
OR4G11P			pseudogene	ENSG00000240361
OR4H1P		OR15-81	pseudogene	
OR4H2P		OR4-119, OR4H2	other	
OR4H3P		OR4-115, OR4H3	other	
OR4H4P		OR15-69, OR4H4	pseudogene	
OR4H5P	OR4H5, OR4H7, OR4H7P	OR5-39, OR4H5, OR4H7, OR4H7P, OR5-84	pseudogene	
OR4H6P	OR4H9P, OR4H10P, OR4H5P, OR4H11P, OR4H5, OR4H7, OR4H7P, OR4H2P, OR4H3P, OR4H11, OR4H2, OR4H3, OR4H1P, OR4H4P, OR4H10, OR4H4, OR4H8P, OR4H8	OR15-71, OR4H6, OR15-82, OR4H9, OR5-39, OR5-84, OR4-114, OR4-115, OR4-119, OR15-69, OR15-80, OR15-81, OR14-58	pseudogene	ENSG00000284892
OR4H7P		OR5-84, OR4H7	pseudogene	
OR4H8P	OR4H8	OR14-58	pseudogene	
OR4H9P		OR15-82, OR4H9	pseudogene	
OR4H10P	OR4H1P, OR4H4P, OR4H10, OR4H4	OR15-80, OR4H10, OR4H1P, OR4H4P, OR4H4, OR15-69, OR15-80, OR15-81	pseudogene	
OR4H11P	OR4H2P, OR4H3P, OR4H11, OR4H2, OR4H3	OR4-114, OR4-115, OR4-119, OR4H2P, OR4H3P, OR4H11, OR4H2, OR4H3	pseudogene	
OR4H12P	OR4H12	C14orf14	pseudogene	ENSG00000176312
OR4K1			protein-coding gene	ENSG00000155249
OR4K2			protein-coding gene	ENSG00000165762
OR4K3	OR4K3P		protein-coding gene	ENSG00000176290
OR4K4P			pseudogene	ENSG00000258541
OR4K5			protein-coding gene	ENSG00000176281
OR4K6P			pseudogene	ENSG00000228304
OR4K7P	OR4K10P		pseudogene	ENSG00000265340
OR4K8P	OR4K9P		pseudogene	ENSG00000266693
OR4K9P			pseudogene	
OR4K10P			pseudogene	
OR4K11P		OR21-1	pseudogene	ENSG00000179381
OR4K12P		OR21-2	pseudogene	ENSG00000218549
OR4K13			protein-coding gene	ENSG00000176253
OR4K14			protein-coding gene	ENSG00000169484
OR4K15		OR4K15Q	protein-coding gene	ENSG00000169488
OR4K16P			pseudogene	ENSG00000258822
OR4K17			protein-coding gene	ENSG00000176230
OR4L1	OR4L2P		protein-coding gene	ENSG00000176246
OR4L2P			pseudogene	
OR4M1			protein-coding gene	ENSG00000176299
OR4M2			protein-coding gene	ENSG00000274102
OR4N1P			pseudogene	ENSG00000258564
OR4N2			protein-coding gene	ENSG00000176294
OR4N3P			pseudogene	ENSG00000259435
OR4N4			protein-coding gene	ENSG00000183706
OR4N5			protein-coding gene	ENSG00000184394
OR4P1P			pseudogene	ENSG00000188439
OR4P2P			other	
OR4P3P			pseudogene	
OR4P4	OR4P3P		protein-coding gene	ENSG00000181927
OR4Q1P			pseudogene	ENSG00000285135
OR4Q2	OR4Q2P		protein-coding gene	ENSG00000196383
OR4Q3	OR4Q4	C14orf13	protein-coding gene	ENSG00000182652
OR4Q4		C14orf13	protein-coding gene	
OR4R1P			pseudogene	ENSG00000255215
OR4R2P			pseudogene	ENSG00000255560
OR4R3P			pseudogene	ENSG00000254624
OR4S1			protein-coding gene	ENSG00000176555
OR4S2	OR4S2P	OST725	protein-coding gene	ENSG00000174982
OR4T1P			pseudogene	ENSG00000258641
OR4U1P			pseudogene	ENSG00000258899
OR4V1P			pseudogene	ENSG00000254841
OR4W1P			pseudogene	
OR4X1			protein-coding gene	ENSG00000176567
OR4X2			protein-coding gene	ENSG00000172208
OR4X7P			pseudogene	ENSG00000255077
OR5A1	OR5A1P	OST181	protein-coding gene	ENSG00000172320
OR5A2			protein-coding gene	ENSG00000172324
OR5AC1	OR5AC1P		protein-coding gene	ENSG00000213439
OR5AC2		HSA1	protein-coding gene	ENSG00000196578
OR5AC4P			pseudogene	ENSG00000251090
OR5AH1P			pseudogene	ENSG00000268067
OR5AK1P	OR5AK5P		pseudogene	ENSG00000255083
OR5AK2			protein-coding gene	ENSG00000181273
OR5AK3P	OR5AK3		pseudogene	ENSG00000181282
OR5AK4P			pseudogene	ENSG00000283307
OR5AK5P			pseudogene	
OR5AL1	OR5AL1P		protein-coding gene	ENSG00000272987
OR5AL2P			pseudogene	ENSG00000255466
OR5AM1P			pseudogene	ENSG00000255172
OR5AN1			protein-coding gene	ENSG00000176495
OR5AN2P			pseudogene	ENSG00000235678
OR5AO1P			pseudogene	ENSG00000272676
OR5AP1P			pseudogene	ENSG00000254795
OR5AP2			protein-coding gene	ENSG00000172464
OR5AQ1P			pseudogene	ENSG00000184741
OR5AR1			protein-coding gene	ENSG00000172459
OR5AS1			protein-coding gene	ENSG00000181785
OR5AU1			protein-coding gene	ENSG00000169327
OR5AW1P			pseudogene	ENSG00000229082
OR5AZ1P			pseudogene	ENSG00000180714
OR5B1P	OR5B9P, OR5B9, OR5B5P, OR5B14P, OR5B7P, OR5B7, OR5B8, OR5B8P, OR5B5, OR5B6, OR5B6P	OR8-122, OR8-123, OR6-57, OR6-55, OR3-144, OR912-92	pseudogene	ENSG00000233499
OR5B2		OST073	protein-coding gene	ENSG00000172365
OR5B3	OR5B13	OST129	protein-coding gene	ENSG00000172769
OR5B4P		OR13-34	pseudogene	
OR5B5P	OR5B5, OR5B6, OR5B6P	OR3-144, OR5B5, OR5B6, OR5B6P, OR912-92	pseudogene	
OR5B6P		OR912-92, OR5B6	pseudogene	
OR5B7P	OR5B7, OR5B8, OR5B8P	OR6-57, OR5B7, OR5B8, OR5B8P, OR6-55	pseudogene	
OR5B8P		OR6-55, OR5B8	pseudogene	
OR5B9P		OR8-123, OR5B9	pseudogene	
OR5B10P	OR5B11P, OR5B4P, OR5B10, OR5B11, OR5B18P	OR13-67, OR13-34, OR13-64	pseudogene	ENSG00000255096
OR5B11P		OR13-64, OR5B11	pseudogene	
OR5B12	OR5B12P, OR5B16	OST743	protein-coding gene	ENSG00000172362
OR5B13			other	
OR5B14P			pseudogene	
OR5B15P			pseudogene	ENSG00000273408
OR5B16			other	
OR5B17	OR5B20P		protein-coding gene	ENSG00000197786
OR5B18P			pseudogene	
OR5B19P			pseudogene	ENSG00000255431
OR5B20P			pseudogene	
OR5B21			protein-coding gene	ENSG00000198283
OR5BA1P			pseudogene	ENSG00000255303
OR5BB1P			pseudogene	ENSG00000198261
OR5BC1P			pseudogene	ENSG00000255218
OR5BD1P			pseudogene	ENSG00000254749
OR5BE1P			pseudogene	ENSG00000225538
OR5BG1P	OR5BG1P		pseudogene	
OR5BH1P	OR5BH2P		pseudogene	ENSG00000242610
OR5BH2P			pseudogene	
OR5BJ1P		OST740	pseudogene	ENSG00000257792
OR5BK1P			pseudogene	ENSG00000257763
OR5BL1P			pseudogene	ENSG00000272569
OR5BM1P			pseudogene	ENSG00000250750
OR5BN1P			pseudogene	ENSG00000254848
OR5BN2P			pseudogene	ENSG00000255140
OR5BP1P			pseudogene	ENSG00000273255
OR5BQ1P	OR5BQ2P		pseudogene	ENSG00000273228
OR5BQ2P			pseudogene	
OR5BR1P			pseudogene	ENSG00000255386
OR5BS1P	OR5BS1		pseudogene	ENSG00000198678
OR5BT1P			pseudogene	ENSG00000258024
OR5C1	OR5C2P	OR9-F, hRPK-465_F_21	protein-coding gene	ENSG00000148215
OR5C2P			pseudogene	
OR5D1P		OR8-125	pseudogene	
OR5D2P	OR5D6P, OR5D10P, OR5D1P, OR5D5P, OR5D12P, OR5D8P, OR5D7P, OR5D9P, OR5D12, OR5D11P, OR5D11	OR11-7a, OR912-91, OR8-127, OR912-47, OR18-44, R5D9P, OR18-17, OR18-42, OR18-43, OR912-94, OR8-125	pseudogene	ENSG00000254457
OR5D3			other	
OR5D3P	OR5D3, OR5D4	OR11-8b, OR11-8c	pseudogene	ENSG00000186886
OR5D4			other	
OR5D5P	OR5D8P	OR912-47, OR5D8P	pseudogene	
OR5D6P			other	
OR5D7P		OR18-17	pseudogene	
OR5D8P		OR18-79	pseudogene	
OR5D10P		OR912-94	pseudogene	
OR5D11P	OR5D11, OR5D1P, OR5D11P	OR8-125, OR8-127	pseudogene	
OR5D12P	OR5D7P, OR5D9P, OR5D12	OR18-44, OR5D12, R5D9P, OR5D7P, OR18-17, OR18-42, OR18-43	pseudogene	
OR5D13			protein-coding gene	ENSG00000279761
OR5D14			protein-coding gene	ENSG00000186113
OR5D15P			pseudogene	ENSG00000255019
OR5D16			protein-coding gene	ENSG00000205029
OR5D17P			pseudogene	ENSG00000181837
OR5D18			protein-coding gene	ENSG00000186119
OR5E1P	OR5E1	TPCR24, HSTPCR24	pseudogene	ENSG00000170688
OR5F1		OR11-10	protein-coding gene	ENSG00000149133
OR5F2P			pseudogene	ENSG00000182365
OR5G1P	OR5G2P	OR11-104, OR93	pseudogene	ENSG00000181296
OR5G2P		OR93Hum	pseudogene	
OR5G3	OR5G6P, OR5G3P		protein-coding gene	ENSG00000241356
OR5G4P			pseudogene	ENSG00000255485
OR5G5P			pseudogene	ENSG00000205025
OR5G6P			pseudogene	
OR5H1		HTPCRX14, HSHTPCRX14	protein-coding gene	ENSG00000231192
OR5H2			protein-coding gene	ENSG00000197938
OR5H3P			pseudogene	ENSG00000249975
OR5H4P			pseudogene	ENSG00000248507
OR5H5P			pseudogene	ENSG00000249321
OR5H6			protein-coding gene	ENSG00000230301
OR5H7P			pseudogene	ENSG00000187900
OR5H8	OR5H8P		protein-coding gene	ENSG00000232535
OR5H14			protein-coding gene	ENSG00000236032
OR5H15			protein-coding gene	ENSG00000233412
OR5I1		HSOlf1, OLF1	protein-coding gene	ENSG00000167825
OR5J1P	OR5J1	HTPCRH02	pseudogene	ENSG00000181780
OR5J2			protein-coding gene	ENSG00000174957
OR5J7P			pseudogene	ENSG00000255217
OR5K1		HTPCRX10, HSHTPCRX10	protein-coding gene	ENSG00000232382
OR5K2			protein-coding gene	ENSG00000231861
OR5K3			protein-coding gene	ENSG00000206536
OR5K4			protein-coding gene	ENSG00000196098
OR5L1		OST262	protein-coding gene	ENSG00000279395
OR5L2		HTPCRX16, HSHTPCRX16	protein-coding gene	ENSG00000205030
OR5M1		OST050	protein-coding gene	ENSG00000255012
OR5M2P			pseudogene	ENSG00000254752
OR5M3			protein-coding gene	ENSG00000174937
OR5M4P			pseudogene	ENSG00000230416
OR5M5P			pseudogene	ENSG00000185701
OR5M6P			pseudogene	ENSG00000254603
OR5M7P			pseudogene	ENSG00000254490
OR5M8			protein-coding gene	ENSG00000181371
OR5M9			protein-coding gene	ENSG00000150269
OR5M10			protein-coding gene	ENSG00000254834
OR5M11		OR11-199	protein-coding gene	ENSG00000255223
OR5M12P			pseudogene	ENSG00000197866
OR5M13P			pseudogene	ENSG00000166693
OR5M14P	OR5M15P		pseudogene	ENSG00000249081
OR5M15P			pseudogene	
OR5P1P			pseudogene	ENSG00000166408
OR5P2		JCG3	protein-coding gene	ENSG00000183303
OR5P3		JCG1	protein-coding gene	ENSG00000182334
OR5P4P		OST730	pseudogene	ENSG00000227892
OR5R1	OR5R1P		protein-coding gene	ENSG00000279961
OR5S1P			pseudogene	ENSG00000213048
OR5T1	OR5T1P		protein-coding gene	ENSG00000181698
OR5T2			protein-coding gene	ENSG00000181718
OR5T3		OR5T3Q	protein-coding gene	ENSG00000172489
OR5V1		hs6M1-21	protein-coding gene	ENSG00000243729
OR5W1P			pseudogene	ENSG00000227806
OR5W2	OR5W2P, OR5W3P		protein-coding gene	ENSG00000187612
OR5W3P			pseudogene	
OR6A1		OR11-55	other	
OR6A2	OR6A2P, OR6A1	OR11-55	protein-coding gene	ENSG00000184933
OR6B1		OR7-3	protein-coding gene	ENSG00000221813
OR6B2	OR6B2P		protein-coding gene	ENSG00000182083
OR6B3	OR6B3P	OR6B3Q	protein-coding gene	ENSG00000178586
OR6C1		OST267	protein-coding gene	ENSG00000205330
OR6C2		OR6C67	protein-coding gene	ENSG00000179695
OR6C3		OST709	protein-coding gene	ENSG00000205329
OR6C4			protein-coding gene	ENSG00000179626
OR6C5P			pseudogene	ENSG00000230307
OR6C6			protein-coding gene	ENSG00000188324
OR6C7P			pseudogene	ENSG00000257757
OR6C64P			pseudogene	ENSG00000234670
OR6C65			protein-coding gene	ENSG00000205328
OR6C66P			pseudogene	ENSG00000233606
OR6C68			protein-coding gene	ENSG00000205327
OR6C69P			pseudogene	ENSG00000213451
OR6C70			protein-coding gene	ENSG00000184954
OR6C71P			pseudogene	ENSG00000203408
OR6C72P			pseudogene	ENSG00000205331
OR6C73P			pseudogene	ENSG00000257414
OR6C74			protein-coding gene	ENSG00000197706
OR6C75			protein-coding gene	ENSG00000187857
OR6C76			protein-coding gene	ENSG00000185821
OR6D1P			pseudogene	ENSG00000224402
OR6D2P			other	
OR6E1P			pseudogene	ENSG00000235213
OR6F1		OST731	protein-coding gene	ENSG00000169214
OR6J1	OR6J2, OR6J1P		protein-coding gene	ENSG00000255804
OR6J2			other	
OR6K1P			pseudogene	ENSG00000231237
OR6K2			protein-coding gene	ENSG00000196171
OR6K3			protein-coding gene	ENSG00000203757
OR6K4P			pseudogene	ENSG00000180437
OR6K5P			pseudogene	ENSG00000226949
OR6K6			protein-coding gene	ENSG00000180433
OR6L1P			pseudogene	ENSG00000233685
OR6L2P			pseudogene	ENSG00000273327
OR6M1			protein-coding gene	ENSG00000196099
OR6M2P			pseudogene	ENSG00000254613
OR6M3P			pseudogene	ENSG00000254430
OR6N1			protein-coding gene	ENSG00000197403
OR6N2			protein-coding gene	ENSG00000188340
OR6P1			protein-coding gene	ENSG00000186440
OR6Q1			protein-coding gene	ENSG00000279051
OR6R1P			pseudogene	ENSG00000230576
OR6R2P			pseudogene	ENSG00000273484
OR6S1		OR6S1Q	protein-coding gene	ENSG00000181803
OR6T1			protein-coding gene	ENSG00000181499
OR6U1P			pseudogene	
OR6U2P	OR6U1P		pseudogene	ENSG00000272937
OR6V1		GPR138	protein-coding gene	ENSG00000225781
OR6W1P	OR6W1	sdolf	pseudogene	ENSG00000179420
OR6X1			protein-coding gene	ENSG00000221931
OR6Y1	OR6Y2		protein-coding gene	ENSG00000197532
OR6Y2			other	
OR7A1P	OR7A6P	OR19-3, OLF4p, hg513	pseudogene	ENSG00000268834
OR7A2		OR19-18	pseudogene	
OR7A2P	OR7A7, OR7A2	hg1003, OR19-18, OLF4p	pseudogene	ENSG00000172148
OR7A3P	OR7A12P, OR7A14P, OR7A14, OR7A13P	OR11-7b, OR19-12, OR14-59, OR14-11	pseudogene	ENSG00000269787
OR7A4P		OR19-1	pseudogene	
OR7A5		HTPCR2	protein-coding gene	ENSG00000188269
OR7A6P		hg513	pseudogene	
OR7A8P	OR7A9P	OST042, HG83, OR19-11	pseudogene	ENSG00000269552
